Averaging kernel etc. information for: HCl
       p/hPa      VR/km      HR/km
      146.78    2.68808    398.384
         100    2.72378    343.606
     68.1292    2.70524    282.569
     46.4159    2.69223    253.641
     31.6228    2.69333    228.785
     21.5443    2.70555    211.497
      14.678    2.72133    204.035
          10     2.7404    198.539
     6.81292    2.76367    199.912
     4.64159    2.80347    207.584
     3.16228    2.87052    216.535
     2.15443    2.97821    228.646
      1.4678     3.1484    251.498
           1     3.5096    288.067
    0.681292    4.20329    336.752
    0.464159    5.11071    396.785
    0.316228    5.80948    456.816
    0.215443    6.07571    524.284
     0.14678    5.15936    606.141
         0.1     6.7908    713.284
   0.0464159     10.379    121.773
   0.0215443    14.4819     115.02
        0.01    19.2398    112.449
  0.00464159    24.8757     111.05
  0.00215443     29.045    110.261
       0.001    25.3315    108.787
