Averaging kernel etc. information for: HCl
       p/hPa      VR/km      HR/km
      146.78    2.69269    380.979
         100    2.74645    325.548
     68.1292    2.70373    305.176
     46.4159    2.69072    293.473
     31.6228    2.69304    258.919
     21.5443    2.69969    230.454
      14.678    2.71043    212.233
          10    2.72446    207.009
     6.81292    2.74875     207.81
     4.64159    2.78905    215.294
     3.16228    2.85733     229.27
     2.15443    2.97008    249.366
      1.4678    3.15179    274.886
           1    3.53766    309.413
    0.681292    4.23518    349.977
    0.464159    5.12595    402.762
    0.316228    5.80668    457.447
    0.215443    6.23756    522.928
     0.14678    6.31491    612.339
         0.1    7.39182    730.627
   0.0464159    10.3395    118.022
   0.0215443    13.7224    114.339
        0.01    17.7639    112.219
  0.00464159    25.4741    111.547
  0.00215443    30.1745    110.785
       0.001    28.9912    108.531
