Averaging kernel etc. information for: HNO3
       p/hPa      VR/km      HR/km
     316.228    4.58922    545.147
     215.443    5.95121    499.389
      146.78    3.45612    436.889
         100    3.48946    398.779
     68.1292    3.44778    395.715
     46.4159     3.5605     411.39
     31.6228    4.00763    450.204
     21.5443    3.89234    521.635
      14.678    3.74583    243.179
          10    3.75395    254.259
     6.81292    3.92119    278.929
     4.64159     4.2486    319.297
     3.16228    4.85175    387.048
     2.15443    4.97272    469.098
      1.4678      3.975    575.195
           1    3.84112    778.299
    0.681292    4.87846    121.293
    0.464159    5.89819    123.135
    0.316228    6.56058    129.564
    0.215443    7.82433    137.235
     0.14678    10.6653    139.539
         0.1    12.5969     136.04
   0.0464159    14.2153    132.968
   0.0215443    16.0731    130.802
        0.01    21.4302    128.034
