Averaging kernel etc. information for: HNO3
       p/hPa      VR/km      HR/km
     316.228    4.53875    544.621
     215.443    5.91582    503.794
      146.78    3.39883    438.206
         100    3.41298    389.735
     68.1292      3.401    380.516
     46.4159    3.53676    394.854
     31.6228    4.00398    432.693
     21.5443    3.88466    502.413
      14.678    3.74103    242.787
          10    3.75757     255.21
     6.81292    3.94972     281.55
     4.64159    4.29846    323.565
     3.16228    4.88821    394.562
     2.15443    5.03796    478.796
      1.4678    4.04812    586.322
           1    3.88278    790.942
    0.681292    4.91967    120.797
    0.464159    5.92246    122.784
    0.316228    6.67651    129.228
    0.215443    7.95939    136.767
     0.14678     10.845    139.216
         0.1    12.7432     136.56
   0.0464159    13.7442    134.386
   0.0215443    15.9227    132.746
        0.01    20.6739    129.937
