Averaging kernel etc. information for: HNO3
       p/hPa      VR/km      HR/km
     316.228    4.65191    537.695
     215.443    6.09776    494.449
      146.78     3.6446    437.235
         100    3.68739    395.527
     68.1292     3.5879     377.84
     46.4159    3.66236    382.084
     31.6228    3.90015    412.256
     21.5443    3.84898    463.697
      14.678    3.81519    261.715
          10    3.82964    259.105
     6.81292    3.98082    276.854
     4.64159    4.31158    311.724
     3.16228    4.89841    364.883
     2.15443    5.01831    440.251
      1.4678    3.99889    541.216
           1    3.81326    727.945
    0.681292     4.8492    121.195
    0.464159    6.02785    120.687
    0.316228    6.85549    125.665
    0.215443    7.77127    132.723
     0.14678    11.3275    137.628
         0.1    11.2418    138.129
   0.0464159    12.6447    133.153
   0.0215443    15.9532    129.223
        0.01    20.1551    126.729
