Averaging kernel etc. information for: HNO3
       p/hPa      VR/km      HR/km
     316.228    4.58273    539.858
     215.443    5.85451     495.12
      146.78    3.40676    433.851
         100    3.40353    375.323
     68.1292    3.39105    367.837
     46.4159    3.53525    393.924
     31.6228    4.02602     441.32
     21.5443    3.89477    521.539
      14.678    3.74011    241.926
          10    3.73429    252.191
     6.81292      3.902    280.295
     4.64159     4.2319    324.807
     3.16228    4.83366    396.723
     2.15443    4.99103    484.013
      1.4678    4.01455     595.73
           1    3.87099    801.414
    0.681292    4.95891    119.622
    0.464159     6.0204    121.348
    0.316228    6.70682    127.684
    0.215443    8.09468    135.422
     0.14678    11.0904    138.381
         0.1    12.7905    135.856
   0.0464159    14.0562    133.697
   0.0215443    15.9847    132.068
        0.01    20.9432    128.965
