Averaging kernel etc. information for: HO2
       p/hPa      VR/km      HR/km
      146.78    3.54941     945.71
         100    5.24812    777.338
     68.1292    7.81612    680.151
     46.4159     5.4814    590.853
     31.6228    4.91032    521.214
     21.5443     4.5796     479.84
      14.678    4.29611    465.306
          10    4.00607    475.222
     6.81292    3.86715    440.408
     4.64159    4.10931    412.352
     3.16228    4.70478     388.05
     2.15443    5.10145    522.053
      1.4678    5.00522    684.085
           1    4.85936    909.723
    0.681292    4.72179    625.019
    0.464159    4.08125    399.612
    0.316228    3.62206    227.346
    0.215443    3.87696    199.457
     0.14678     4.7096    178.691
         0.1    7.71943    180.242
   0.0464159    10.5344    190.181
   0.0215443    13.0417    210.847
        0.01    16.4063    216.313
  0.00464159    22.8364    215.112
  0.00215443     27.405    211.872
       0.001      25.89    197.018
