Averaging kernel etc. information for: HO2
       p/hPa      VR/km      HR/km
      146.78    3.51282    929.094
         100    5.27618    765.992
     68.1292    6.99468    672.482
     46.4159    5.35465    581.459
     31.6228    4.86462    510.424
     21.5443    4.60513    468.033
      14.678    4.32968    454.422
          10    4.03738    466.333
     6.81292    3.91392    430.801
     4.64159    4.15093     401.31
     3.16228     4.7475     376.21
     2.15443    5.17733    513.419
      1.4678    5.06578    679.095
           1    4.86789    911.118
    0.681292    4.71135    616.518
    0.464159    4.11743    385.342
    0.316228    3.63838    223.389
    0.215443    3.85888    196.548
     0.14678    4.58469    176.676
         0.1    7.63615    178.711
   0.0464159    10.5217    188.814
   0.0215443    12.9709    209.343
        0.01     16.259    216.241
  0.00464159    22.4292    216.632
  0.00215443    26.8307    213.812
       0.001    25.9938    198.267
