Averaging kernel etc. information for: HO2
       p/hPa      VR/km      HR/km
      146.78    3.69499    1107.85
         100    5.07269    819.467
     68.1292    8.74921    705.724
     46.4159    5.78003    608.979
     31.6228    4.61649    537.365
     21.5443    4.40656    495.377
      14.678    4.28418    484.764
          10    3.97476    494.788
     6.81292    3.84406    453.997
     4.64159     4.0779    420.856
     3.16228    4.66753    394.077
     2.15443     5.0922    519.728
      1.4678    4.99298    675.995
           1     4.8201    893.601
    0.681292    4.73514    630.095
    0.464159    4.22464    416.488
    0.316228     3.6914    232.037
    0.215443    3.85569    201.354
     0.14678    4.28413    179.957
         0.1    7.26594     185.89
   0.0464159    10.5943    193.167
   0.0215443    13.2578    211.649
        0.01    16.5843    216.784
  0.00464159    22.3162    212.447
  0.00215443    26.5989    207.775
       0.001    24.5332    194.446
