Averaging kernel etc. information for: HO2
       p/hPa      VR/km      HR/km
      146.78    3.60121    931.005
         100    5.09418    766.656
     68.1292    7.56549    676.715
     46.4159    5.44233    586.027
     31.6228    4.92549    515.263
     21.5443    4.65266    473.297
      14.678     4.3362    459.145
          10    4.00899    470.816
     6.81292    3.86676    437.284
     4.64159    4.09368     409.35
     3.16228    4.68702    385.068
     2.15443    5.14292    520.758
      1.4678    5.06578    688.123
           1    4.90238    920.213
    0.681292    4.77402    631.269
    0.464159    4.17233     400.93
    0.316228    3.68707    227.249
    0.215443    3.95427    198.928
     0.14678    4.82546    178.453
         0.1    7.79924      180.5
   0.0464159    10.5882     190.48
   0.0215443    12.9882    210.966
        0.01    16.2058    216.334
  0.00464159    22.3406    213.254
  0.00215443    26.7388     209.32
       0.001    25.2928     195.85
