Averaging kernel etc. information for: HOCl
       p/hPa      VR/km      HR/km
      146.78    3.36408    705.052
         100    5.27503    567.184
     68.1292    5.18497    471.704
     46.4159    4.52901    402.359
     31.6228    4.69824     342.35
     21.5443     5.0607    287.402
      14.678    5.35032    257.109
          10    5.67009     247.06
     6.81292    6.00507    249.749
     4.64159      6.388    261.394
     3.16228    6.76817    281.927
     2.15443    6.45208    313.305
      1.4678    5.50997    366.528
           1    3.77422    458.067
    0.681292    4.15665    134.872
    0.464159     5.3466    141.889
    0.316228    6.31226    146.071
    0.215443    7.58036    152.888
     0.14678    10.5621    153.989
         0.1    13.8943    149.237
   0.0464159     17.611    145.623
   0.0215443    22.3933    142.801
        0.01    24.3487    140.858
  0.00464159    23.2604    139.622
  0.00215443    22.5418    138.731
       0.001    22.3269     138.94
