Averaging kernel etc. information for: HOCl
       p/hPa      VR/km      HR/km
      146.78     3.4806    711.994
         100    5.10451    583.601
     68.1292    5.79173    492.713
     46.4159    4.63612    424.787
     31.6228    4.69593     369.39
     21.5443    5.01713     314.62
      14.678     5.3189    277.276
          10    5.61829    261.625
     6.81292    5.93158    260.297
     4.64159    6.30304    269.187
     3.16228    6.66727    287.357
     2.15443    6.37783     316.14
      1.4678    5.42645    366.348
           1    3.74936    457.884
    0.681292    4.17493    137.193
    0.464159    5.50503    143.342
    0.316228    6.42677     146.23
    0.215443    7.61492    152.042
     0.14678    10.7641    154.359
         0.1    13.1242    149.773
   0.0464159     17.027    144.954
   0.0215443    22.0329    141.846
        0.01    23.2835    139.706
  0.00464159    21.9745    138.171
  0.00215443     21.554    137.379
       0.001    21.5282     137.57
