Averaging kernel etc. information for: HOCl
       p/hPa      VR/km      HR/km
      146.78    3.55184    723.733
         100    5.12161    590.936
     68.1292    6.39827    503.466
     46.4159    4.83429    436.925
     31.6228     4.5737      383.8
     21.5443    4.88059    335.497
      14.678    5.32918    292.543
          10    5.62808    269.165
     6.81292    5.95105    263.957
     4.64159     6.3467    271.621
     3.16228    6.72742    289.439
     2.15443    6.42584    318.534
      1.4678    5.49675    370.481
           1    3.74947    459.385
    0.681292    4.14884    137.226
    0.464159    5.46481    142.924
    0.316228    6.45625    145.779
    0.215443      7.397    151.534
     0.14678    10.7359    154.548
         0.1    11.1648    154.219
   0.0464159    13.7786    148.537
   0.0215443    18.9548    144.289
        0.01     19.851    141.999
  0.00464159    19.0743    140.374
  0.00215443    19.0492    139.429
       0.001    19.0879    139.687
