Averaging kernel etc. information for: HOCl
       p/hPa      VR/km      HR/km
      146.78    3.42344    713.089
         100    5.11588    576.087
     68.1292    5.55564    481.072
     46.4159    4.58337     411.82
     31.6228    4.74856    353.687
     21.5443    5.10921    295.579
      14.678    5.38434    263.133
          10    5.67201    252.211
     6.81292     5.9739     254.49
     4.64159    6.34826    265.885
     3.16228    6.73105    286.063
     2.15443     6.4278     317.22
      1.4678    5.50967    370.759
           1    3.79123    462.649
    0.681292    4.21123    135.671
    0.464159    5.46844    142.194
    0.316228    6.34423    146.242
    0.215443    7.73278    152.718
     0.14678    10.8303    154.031
         0.1    13.8119    148.965
   0.0464159     17.498    144.728
   0.0215443    22.4587    141.646
        0.01    24.0753    139.234
  0.00464159    22.9405    137.346
  0.00215443    22.3488    136.294
       0.001    22.1744    135.169
