Averaging kernel etc. information for: N2O
       p/hPa      VR/km      HR/km
      146.78     4.2446     657.23
         100    5.84041    509.592
     68.1292    5.72127     447.05
     46.4159    5.59459    408.055
     31.6228     5.4897    379.158
     21.5443    5.76401    310.459
      14.678    5.94882    279.318
          10    6.22381    272.128
     6.81292    6.44728    277.572
     4.64159    6.72356    290.486
     3.16228    7.05481    310.165
     2.15443    7.60876    341.059
      1.4678    8.73581    383.724
           1    9.80279    437.274
    0.681292    12.2057    534.095
    0.464159    13.7472    655.892
    0.316228    9.43566    873.816
    0.215443    8.30833     1231.8
     0.14678    11.5602       1650
         0.1    9.05594    127.948
   0.0464159    12.0097     124.29
   0.0215443    15.2279    123.369
        0.01    19.0853    122.831
