Averaging kernel etc. information for: N2O
       p/hPa      VR/km      HR/km
      146.78    4.33727     673.28
         100    5.84619    511.248
     68.1292    5.68222    451.133
     46.4159    5.53162    409.865
     31.6228    5.44956    370.914
     21.5443    5.73403    310.989
      14.678    5.93679    280.466
          10    6.20504    273.301
     6.81292    6.44001    279.241
     4.64159    6.73654    292.508
     3.16228     7.0708    312.476
     2.15443    7.65027     343.77
      1.4678    8.80858    386.036
           1    9.86219    439.799
    0.681292    12.3511    537.615
    0.464159    13.7718    661.508
    0.316228    9.47713    882.913
    0.215443    8.35832    1243.63
     0.14678    11.7062       1650
         0.1    9.21453    127.955
   0.0464159    12.0327    124.668
   0.0215443    15.2665    123.893
        0.01    19.1245    123.389
