Averaging kernel etc. information for: N2O
       p/hPa      VR/km      HR/km
      146.78    4.48647    668.273
         100    6.15346    508.069
     68.1292    6.00797     441.51
     46.4159    6.00865    397.698
     31.6228     5.7979    368.739
     21.5443    5.80499    315.701
      14.678    6.01765    286.459
          10    6.23043    272.368
     6.81292    6.46453    272.398
     4.64159     6.7469    281.979
     3.16228    7.06956    298.468
     2.15443    7.64049    323.333
      1.4678    8.76413    363.381
           1    9.90327    418.333
    0.681292    12.7676    521.452
    0.464159     13.638      652.4
    0.316228    9.45502    889.596
    0.215443    8.07833    1277.41
     0.14678    11.5083       1650
         0.1    8.58635    127.438
   0.0464159    11.5783    124.108
   0.0215443    15.0721    122.927
        0.01    18.6138    122.387
