Averaging kernel etc. information for: N2O
       p/hPa      VR/km      HR/km
      146.78    4.60845    652.286
         100    6.01289    526.569
     68.1292    5.85893    459.388
     46.4159     5.8153    417.194
     31.6228    5.64768    394.609
     21.5443    5.84607    337.196
      14.678    6.01689    300.669
          10    6.26091    291.072
     6.81292    6.46465    296.212
     4.64159    6.74094    309.701
     3.16228    7.06689    330.955
     2.15443    7.65503    365.171
      1.4678    8.83082     405.97
           1    9.92887    459.914
    0.681292    12.5655    559.334
    0.464159    13.7683    694.188
    0.316228    9.52104    909.575
    0.215443    8.42477    1266.81
     0.14678    11.7018       1650
         0.1    9.23771    129.304
   0.0464159    12.0825    125.871
   0.0215443    15.2743    124.935
        0.01    19.0438    124.244
