Averaging kernel etc. information for: N2O_640
       p/hPa      VR/km      HR/km
      146.78     5.8102    948.022
         100    5.69705    648.994
     68.1292    5.88055    572.577
     46.4159     5.0672    507.563
     31.6228    3.97935    461.279
     21.5443    3.83527    418.977
      14.678    3.78912    378.126
          10     3.7586    347.677
     6.81292    3.89642    286.295
     4.64159    4.03608    274.696
     3.16228    4.27658    274.631
     2.15443    4.68553    279.567
      1.4678    5.49511    291.032
           1    6.97621    317.539
    0.681292    8.33475    397.572
    0.464159    12.0755    495.492
    0.316228    8.80691    645.771
    0.215443    6.17784    976.326
     0.14678    7.69735       1650
         0.1    6.10223    128.292
   0.0464159    10.3343    120.549
   0.0215443    14.0879    121.441
        0.01    18.1995    121.607
  0.00464159    24.4402    121.315
  0.00215443    27.6376    120.924
       0.001    24.4831     119.74
