Averaging kernel etc. information for: N2O_640
       p/hPa      VR/km      HR/km
      146.78    5.45349    756.168
         100    5.49344    621.857
     68.1292    5.53895    549.873
     46.4159    4.25257    476.612
     31.6228    3.69671    420.314
     21.5443    3.61285    366.522
      14.678    3.59763    311.967
          10    3.61382    288.213
     6.81292    3.74088    258.214
     4.64159    3.90123    251.471
     3.16228    4.13932    252.054
     2.15443    4.57372     257.77
      1.4678    5.40413    270.349
           1    6.92943    298.109
    0.681292    8.32143    381.136
    0.464159    12.0704    484.609
    0.316228    8.75384    636.845
    0.215443    6.19863    976.422
     0.14678    7.65582       1650
         0.1    6.27046    126.211
   0.0464159    10.3671    119.291
   0.0215443    13.8868      120.2
        0.01    18.0558    120.899
  0.00464159    23.1362    120.765
  0.00215443    23.8838    120.042
       0.001     21.058    118.678
