Averaging kernel etc. information for: N2O_640
       p/hPa      VR/km      HR/km
      146.78    5.95548    1142.49
         100     5.8915    691.392
     68.1292    6.12882    603.106
     46.4159    5.93887    524.651
     31.6228    4.10644    467.406
     21.5443    3.77246     424.87
      14.678    3.76598    381.439
          10    3.80189    330.928
     6.81292    3.89645    287.549
     4.64159    4.09616    276.397
     3.16228    4.37442    275.308
     2.15443    4.82283    279.592
      1.4678    5.64297    290.718
           1    7.02224    316.774
    0.681292    8.30223    396.012
    0.464159    11.7819    492.857
    0.316228    8.99224    640.388
    0.215443    6.04638    962.426
     0.14678    8.17233       1650
         0.1    5.96709    127.523
   0.0464159    10.2346    120.553
   0.0215443    14.2723    121.944
        0.01    18.6208    122.188
  0.00464159    23.6889    121.482
  0.00215443    25.4379    120.959
       0.001    22.2141    119.952
