Averaging kernel etc. information for: N2O_640
       p/hPa      VR/km      HR/km
      146.78    5.82774    695.309
         100    5.87967    592.329
     68.1292    6.17805    554.035
     46.4159    5.80256    495.757
     31.6228     4.6629    447.487
     21.5443    4.42687    412.206
      14.678    4.23664    389.944
          10    4.09439    385.797
     6.81292    4.11428    336.421
     4.64159    4.17471    323.715
     3.16228    4.33296    320.697
     2.15443    4.71149    321.782
      1.4678     5.5043    329.681
           1    6.95853     358.11
    0.681292     8.3199    432.858
    0.464159    12.0646    528.254
    0.316228    8.76604     682.77
    0.215443    6.24514      990.1
     0.14678    7.70842       1650
         0.1    6.32913    132.929
   0.0464159     10.364    123.542
   0.0215443    14.1457    123.637
        0.01    18.4602    123.198
  0.00464159    24.1046    122.472
  0.00215443    25.7348    121.625
       0.001    22.9364    120.025
