Averaging kernel etc. information for: O3
       p/hPa      VR/km      HR/km
     316.228    1.70748    506.517
     261.016    3.14614    434.707
     215.443    3.52921    382.778
     177.828    3.46373    345.537
      146.78    2.59035     405.46
     121.153    2.31748    361.309
         100    2.57007    337.819
     82.5404    2.70345    332.963
     68.1292    2.75225    339.327
     56.2341    2.70048    348.062
     46.4159    2.62811    360.178
     38.3119    2.60741    378.804
     31.6228    2.64058    402.153
     26.1016    2.65881     437.69
     21.5443    2.70686    482.577
     17.7828    2.72787    511.981
      14.678    2.75621    522.037
     12.1153    2.85248    526.602
          10    2.94813     531.23
     8.25404    3.02687    513.451
     6.81292    3.09674    502.853
     5.62341    3.15759    495.715
     4.64159    3.21703    489.701
     3.83119    3.27374    484.626
     3.16228    3.33665    481.289
     2.61016    3.43937    478.216
     2.15443    3.55251    474.099
     1.77828    3.67727    472.481
      1.4678    3.62834    477.074
     1.21153    2.70722    504.459
           1    2.92566    498.041
    0.681292    3.33458     562.15
    0.464159    3.20707    591.116
    0.316228    3.15896    540.126
    0.215443    2.99176     491.36
     0.14678    2.78025    466.544
         0.1    4.05276    427.255
   0.0464159    5.36617    383.341
   0.0215443    5.37342    273.275
        0.01    5.42545    253.293
  0.00464159    5.58262    329.581
  0.00215443    6.06099    468.674
       0.001    7.29021    612.866
 0.000464159    7.52776     340.27
