Averaging kernel etc. information for: O3
       p/hPa      VR/km      HR/km
     316.228    1.68693    521.355
     261.016    3.20213    458.869
     215.443    3.46258    405.151
     177.828    3.40845    355.823
      146.78    2.52805      401.6
     121.153    2.26063    354.677
         100    2.50093    324.734
     82.5404    2.63943    312.242
     68.1292    2.71875    312.829
     56.2341    2.68802    319.893
     46.4159    2.62615    328.743
     38.3119    2.61741    346.337
     31.6228    2.66087    368.866
     26.1016    2.67933    400.803
     21.5443    2.71766    443.913
     17.7828    2.71609    474.884
      14.678    2.72213    490.867
     12.1153    2.79577    498.393
          10    2.86666    504.399
     8.25404    2.91761    486.237
     6.81292    2.95988    475.364
     5.62341    2.99971    468.911
     4.64159     3.0496    466.284
     3.83119    3.11242    465.649
     3.16228    3.18284    466.383
     2.61016    3.30972    467.693
     2.15443    3.44798    469.281
     1.77828    3.60953     474.55
      1.4678    3.58138    485.694
     1.21153    2.71515    519.663
           1    3.04053    517.793
    0.681292    3.48973    656.671
    0.464159    3.45124    689.466
    0.316228    3.57687    664.405
    0.215443     3.3742    633.855
     0.14678    2.91911    640.667
         0.1    4.11629    702.303
   0.0464159    5.39423    657.042
   0.0215443    5.39385      579.9
        0.01     5.4581    700.064
  0.00464159    5.64753    775.395
  0.00215443    6.17995    809.517
       0.001    7.37936     965.23
 0.000464159    7.52373    459.385
