Averaging kernel etc. information for: O3
       p/hPa      VR/km      HR/km
     316.228    1.75021    527.499
     261.016    3.25065    440.661
     215.443    3.72883    380.836
     177.828     3.6247    334.624
      146.78    2.83507    400.572
     121.153     2.5003    357.749
         100    2.75635    328.748
     82.5404    2.88654    312.688
     68.1292    2.93577    311.274
     56.2341    2.89052    316.268
     46.4159    2.79328        324
     38.3119    2.75227    337.103
     31.6228    2.74108    353.261
     26.1016    2.72759    369.405
     21.5443    2.73763    392.859
     17.7828    2.69591    432.552
      14.678    2.70181    475.076
     12.1153    2.75819    499.422
          10    2.81392    502.907
     8.25404    2.85338    489.133
     6.81292    2.89882    487.275
     5.62341    2.97201    495.003
     4.64159    3.06641    505.357
     3.83119    3.17339     514.95
     3.16228    3.28968    519.512
     2.61016    3.42965    512.318
     2.15443    3.58134    496.196
     1.77828    3.72102    483.746
      1.4678    3.69032     482.46
     1.21153    2.77076    515.851
           1    3.03014    501.935
    0.681292    3.47139    605.015
    0.464159    3.39763    685.298
    0.316228    3.39653    676.734
    0.215443     3.1409    673.129
     0.14678    2.82189    682.767
         0.1    4.07369    667.071
   0.0464159    5.38258    641.767
   0.0215443    5.39245    528.718
        0.01     5.4787    500.329
  0.00464159    5.65162    524.825
  0.00215443    5.94621    784.094
       0.001    8.00602    867.889
 0.000464159    9.95943     1146.7
