Averaging kernel etc. information for: O3
       p/hPa      VR/km      HR/km
     316.228    1.70316    460.074
     261.016    2.89453    442.093
     215.443    3.50772    413.019
     177.828    3.34983    363.594
      146.78    2.56055    396.392
     121.153    2.29968    343.762
         100    2.57477    309.452
     82.5404    2.73504    298.377
     68.1292    2.81501    304.511
     56.2341    2.78494    320.039
     46.4159    2.72601    341.143
     38.3119     2.7121    365.492
     31.6228    2.76621    396.368
     26.1016    2.79535     441.57
     21.5443    2.84943    489.738
     17.7828    2.87408    526.105
      14.678    2.89473    548.068
     12.1153    2.96932    558.373
          10    3.03284    563.508
     8.25404    3.07258    538.433
     6.81292    3.09206    514.322
     5.62341    3.10826    492.275
     4.64159    3.13213     475.55
     3.83119    3.16564    464.537
     3.16228    3.21801    458.754
     2.61016    3.32342    456.438
     2.15443    3.45306    455.674
     1.77828    3.60452    459.011
      1.4678    3.57366     468.53
     1.21153    2.70436     500.76
           1    2.96415    496.117
    0.681292    3.36695    556.318
    0.464159    3.23744    573.389
    0.316228    3.18762     543.09
    0.215443    3.00801    495.574
     0.14678    2.78514    473.313
         0.1    4.05455     443.22
   0.0464159    5.36734    406.607
   0.0215443    5.37553    299.406
        0.01    5.43565    291.878
  0.00464159    5.58933    364.693
  0.00215443     5.8616    442.956
       0.001    7.50687     696.02
 0.000464159    8.16993    638.987
