Averaging kernel etc. information for: OH
       p/hPa      VR/km      HR/km
     68.1292     2.7511    429.555
     46.4159    3.40478    190.522
     31.6228    2.67881    184.028
     21.5443    2.66762    177.945
      14.678    2.66717     172.78
          10    2.66736    169.674
     6.81292    2.66679    167.466
     4.64159    2.66679    166.268
     3.16228    2.66679    165.225
     2.15443    2.66681    164.793
      1.4678    2.66685    164.538
           1    2.66697    164.479
    0.681292    2.66701    164.513
    0.464159    2.66713    164.618
    0.316228     2.6675    164.584
    0.215443    2.66848    164.609
     0.14678    2.67146    164.383
         0.1    2.67633    164.962
   0.0681292    2.67941    163.074
   0.0464159    2.68945    162.564
   0.0316228    2.69656    161.956
   0.0215443    2.77251    160.577
    0.014678    2.99236    161.453
        0.01    3.22501    159.803
  0.00681292    3.36024    171.773
  0.00464159    4.11275    186.524
  0.00316228    5.78745    212.406
  0.00215443    3.50999    227.371
