Averaging kernel etc. information for: OH
       p/hPa      VR/km      HR/km
     68.1292    2.91003    484.789
     46.4159    4.49385    194.971
     31.6228    2.67765    178.736
     21.5443    2.66734    175.043
      14.678    2.66738    170.027
          10    2.66784    167.825
     6.81292    2.66707    165.908
     4.64159    2.66699    165.295
     3.16228    2.66713    164.177
     2.15443    2.66727    163.789
      1.4678    2.66763    163.656
           1    2.66856    163.871
    0.681292    2.66857    164.336
    0.464159    2.66895    165.191
    0.316228    2.66954    165.976
    0.215443    2.67088    166.891
     0.14678    2.67369    167.182
         0.1    2.67882    167.469
   0.0681292    2.68503    166.672
   0.0464159    2.69354    165.015
   0.0316228    2.70779    164.499
   0.0215443    2.73445    163.828
    0.014678    2.79076    164.395
        0.01    2.88795    166.076
  0.00681292    3.12006    168.214
  0.00464159    3.81818    168.603
  0.00316228    4.73385    175.799
  0.00215443    3.20442    187.849
