Averaging kernel etc. information for: OH
       p/hPa      VR/km      HR/km
     68.1292    6.36059    556.711
     46.4159    4.78124      248.3
     31.6228    2.69963     171.29
     21.5443    2.66902    173.443
      14.678    2.66703    169.558
          10    2.66723    168.587
     6.81292    2.66676     167.13
     4.64159    2.66681    166.154
     3.16228    2.66678    165.277
     2.15443    2.66679    164.789
      1.4678    2.66674    164.378
           1    2.66674    164.572
    0.681292    2.66669    164.563
    0.464159    2.66673    164.645
    0.316228    2.66671    164.683
    0.215443    2.66677    164.663
     0.14678    2.66678     164.89
         0.1    2.66801    164.534
   0.0681292    2.66912    164.837
   0.0464159    2.67419    164.721
   0.0316228    2.67655    156.559
   0.0215443    2.69909    165.547
    0.014678     2.7761    161.261
        0.01    2.88976    164.147
  0.00681292    3.08348    170.216
  0.00464159    3.38972    179.176
  0.00316228    3.47163    186.625
  0.00215443    2.90792    206.686
