Averaging kernel etc. information for: OH
       p/hPa      VR/km      HR/km
     68.1292     2.7576    414.894
     46.4159    3.22986    196.985
     31.6228    2.68373    179.078
     21.5443    2.66844    174.646
      14.678    2.66814    169.458
          10    2.66915    168.143
     6.81292    2.66757    165.953
     4.64159    2.66755    166.037
     3.16228    2.66763    164.593
     2.15443    2.66808    164.091
      1.4678    2.66867    163.381
           1     2.6707    163.182
    0.681292    2.67159    163.218
    0.464159     2.6746    163.202
    0.316228    2.68115    163.462
    0.215443     2.6972    163.017
     0.14678    2.73799    162.388
         0.1    2.81038    162.738
   0.0681292    2.89409    158.695
   0.0464159    2.93752    160.379
   0.0316228    2.90655    165.743
   0.0215443    2.86658    178.173
    0.014678    2.87873     192.26
        0.01    2.96394    189.612
  0.00681292     3.1527    185.208
  0.00464159    3.44539    184.318
  0.00316228     3.4278    187.576
  0.00215443     2.8891    210.256
