Averaging kernel etc. information for: SO2
       p/hPa      VR/km      HR/km
     316.228    2.78658    302.043
     215.443    2.87152    242.694
      146.78    2.85592    234.478
         100    2.83263    220.069
     68.1292    2.83722    204.568
     46.4159    2.86274    194.096
     31.6228    2.94267    184.778
     21.5443    3.07273    179.544
      14.678    3.21073    171.765
          10    3.36997    168.201
     6.81292    3.58737    166.542
     4.64159    3.87276    166.878
     3.16228    4.26395    169.858
     2.15443    4.86435    175.954
      1.4678    5.56099    183.616
           1     6.3376    193.115
    0.681292     7.8121    198.343
    0.464159    8.93085    202.876
    0.316228    10.5052    204.355
    0.215443    12.9842    203.445
     0.14678    17.6689    198.597
         0.1    23.0087    187.152
   0.0464159    25.9894    177.449
   0.0215443    29.4555    171.516
        0.01    30.4491    168.385
  0.00464159    29.5044    166.657
  0.00215443    28.9479    165.659
       0.001    28.7945    164.291
