Averaging kernel etc. information for: SO2
       p/hPa      VR/km      HR/km
     316.228    2.77638    328.461
     215.443    2.85801    238.233
      146.78     2.8403    223.379
         100    2.82258    204.938
     68.1292    2.83005    192.212
     46.4159    2.85858    183.872
     31.6228    2.93887    176.705
     21.5443    3.06278    173.165
      14.678    3.19565    168.338
          10    3.35036    166.486
     6.81292    3.56178    165.814
     4.64159    3.85137    166.657
     3.16228    4.25459    169.768
     2.15443    4.86114    176.006
      1.4678    5.57967    184.194
           1    6.36676    194.414
    0.681292    7.81811    200.268
    0.464159    8.90642    205.538
    0.316228    10.5462    207.336
    0.215443    13.0347    206.683
     0.14678    17.6256    201.409
         0.1     22.975    189.606
   0.0464159    26.2178    180.089
   0.0215443    29.2651    173.933
        0.01    29.9132    170.329
  0.00464159    28.7871    168.494
  0.00215443    28.3889    167.447
       0.001    28.2831    165.891
