Averaging kernel etc. information for: SO2
       p/hPa      VR/km      HR/km
     316.228    2.81725    344.645
     215.443    2.95603    228.917
      146.78    2.95701    213.683
         100    2.92486    201.861
     68.1292    2.93592    189.287
     46.4159    2.96288    184.055
     31.6228    3.00698    178.517
     21.5443    3.11835    175.467
      14.678    3.28326    174.208
          10    3.43222    170.225
     6.81292    3.61949    168.415
     4.64159    3.91706    168.719
     3.16228    4.33723    170.845
     2.15443    4.93586    175.597
      1.4678    5.63795    182.759
           1    6.32919    193.015
    0.681292    7.70782    199.967
    0.464159    8.80568    205.515
    0.316228    10.6021    207.193
    0.215443    12.8207    206.134
     0.14678    18.2199    202.775
         0.1    21.1915    195.772
   0.0464159    23.6641    183.677
   0.0215443    27.3211    174.085
        0.01    28.4332    169.835
  0.00464159    27.8462    167.585
  0.00215443    27.8611    166.673
       0.001    27.9319    165.696
