Averaging kernel etc. information for: SO2
       p/hPa      VR/km      HR/km
     316.228    2.94493    298.186
     215.443    2.95409    241.563
      146.78    2.87096    215.017
         100    2.84819    206.318
     68.1292    2.86172    199.173
     46.4159    2.89148    193.631
     31.6228    2.97496    185.134
     21.5443    3.10678    180.661
      14.678    3.23694    172.866
          10    3.38433    169.387
     6.81292     3.5892    168.166
     4.64159    3.86972    169.168
     3.16228    4.26777    172.658
     2.15443    4.87545    179.198
      1.4678    5.59175     187.71
           1    6.38767    198.769
    0.681292    7.83844    205.879
    0.464159    8.93476    212.871
    0.316228     10.477    216.447
    0.215443    12.8472    216.793
     0.14678    17.5742     212.21
         0.1    22.9247    198.974
   0.0464159    25.8708    186.065
   0.0215443    29.4083    176.471
        0.01    30.3264    170.422
  0.00464159    29.4759    166.735
  0.00215443    28.9784    164.617
       0.001     28.743    162.671
