Averaging kernel etc. information for: Temperature
       p/hPa      VR/km      HR/km
     316.228    2.00226    168.063
     261.016    3.00263     166.46
     215.443    3.90599    165.193
     177.828    4.35456    164.554
      146.78    4.37652    164.646
     121.153     4.4005    165.347
         100    4.40851    166.277
     82.5404    3.99589    166.299
     68.1292    4.01896    165.364
     56.2341    3.82965    164.767
     46.4159     3.6711    164.895
     38.3119    3.65173    165.223
     31.6228      3.621    165.258
     26.1016    3.63206    165.104
     21.5443    3.66027    165.071
     17.7828    3.68867    165.232
      14.678    3.73361    165.357
     12.1153    3.77399    165.326
          10    3.82177    165.267
     8.25404    3.88877    165.281
     6.81292     3.9385    165.337
     5.62341    4.03277    165.425
     4.64159    4.13042    165.428
     3.83119    4.21453    165.129
     3.16228     4.3735    165.008
     2.61016    4.49012    165.109
     2.15443    4.57994    165.506
     1.77828    4.57019    167.286
      1.4678    4.24437    170.781
     1.21153    3.84969     173.68
           1     4.7171    165.224
    0.681292    6.17016    159.816
    0.464159    6.45353     163.96
    0.316228     6.5448    166.911
    0.215443    6.23612    168.375
     0.14678    5.36821    172.365
         0.1    5.36626    168.497
   0.0464159     7.1713    178.127
   0.0215443     8.6534    212.991
        0.01    10.2591     245.49
  0.00464159    10.8306    261.332
  0.00215443    11.6366    267.378
       0.001    14.6585    286.369
 0.000464159    14.8362    317.531
 0.000215443    15.0512    366.472
      0.0001    16.3395    396.111
