Averaging kernel etc. information for: Temperature
       p/hPa      VR/km      HR/km
     316.228    1.90305    168.614
     261.016    3.40922    166.368
     215.443    3.81746    164.995
     177.828    4.39721    164.767
      146.78    4.24879    165.392
     121.153    4.45031    166.188
         100    4.11963    166.631
     82.5404    3.97764    166.081
     68.1292    4.00485    165.006
     56.2341    3.73602    164.663
     46.4159    3.68927    165.002
     38.3119    3.64053    165.216
     31.6228    3.62381    165.078
     26.1016    3.62824    164.995
     21.5443    3.65752    165.119
     17.7828    3.67873    165.248
      14.678    3.72996    165.247
     12.1153     3.7703    165.217
          10    3.84177     165.25
     8.25404    3.90256    165.257
     6.81292    3.97844    165.254
     5.62341    4.07694    165.365
     4.64159    4.17299    165.359
     3.83119    4.27347    165.241
     3.16228    4.43857    165.276
     2.61016    4.57414    165.232
     2.15443    4.64555    165.638
     1.77828    4.68285    167.558
      1.4678    4.28325     171.02
     1.21153    3.96019    173.433
           1    4.82103    164.449
    0.681292    6.28127    159.185
    0.464159    6.57077    164.214
    0.316228    6.66167    168.524
    0.215443    6.29649    170.538
     0.14678    5.60283    173.063
         0.1    5.43768    167.417
   0.0464159    7.24904    177.995
   0.0215443    8.72004    220.337
        0.01    10.6938    259.929
  0.00464159    11.7822    270.823
  0.00215443    12.3567    269.368
       0.001    13.7194    282.523
 0.000464159    15.1401     313.77
 0.000215443    15.1507    363.396
      0.0001    15.9574    392.811
