Averaging kernel etc. information for: Temperature
       p/hPa      VR/km      HR/km
     316.228      2.057    167.651
     261.016    2.92524    166.442
     215.443    4.02783    165.267
     177.828    4.36959    164.512
      146.78    4.42598     164.49
     121.153    4.34385    165.212
         100    4.29416    166.253
     82.5404    4.03123    166.498
     68.1292    4.02729    165.653
     56.2341    3.96652    164.831
     46.4159    3.73978    164.755
     38.3119    3.71404    165.159
     31.6228    3.64474    165.344
     26.1016    3.63035    165.093
     21.5443    3.62861    164.918
     17.7828     3.6727    165.076
      14.678    3.72033     165.35
     12.1153    3.79053    165.503
          10    3.85353    165.451
     8.25404    3.94037    165.343
     6.81292    4.00827    165.271
     5.62341    4.07654    165.255
     4.64159    4.17198    165.378
     3.83119    4.25079    165.391
     3.16228    4.35279    165.278
     2.61016    4.45174    165.306
     2.15443    4.53817    165.411
     1.77828    4.42831    166.286
      1.4678    4.17933    168.998
     1.21153     3.7537    171.843
           1    4.54591    164.513
    0.681292    6.15335    160.524
    0.464159     6.3732    166.085
    0.316228    6.48533    169.021
    0.215443    6.15541    170.317
     0.14678    5.08895    175.383
         0.1    5.16906    171.297
   0.0464159    6.99128    178.378
   0.0215443    8.10912    209.046
        0.01    9.16753    244.879
  0.00464159    9.80439    263.954
  0.00215443    10.1931     265.75
       0.001     11.702    282.253
 0.000464159    14.4753    319.335
 0.000215443    14.8119    383.334
      0.0001    15.2064    447.483
