Averaging kernel etc. information for: Temperature
       p/hPa      VR/km      HR/km
     316.228    1.71171    168.227
     261.016    3.56163    166.563
     215.443    3.26001    165.424
     177.828    3.75624    164.747
      146.78    4.03238    164.388
     121.153    4.01863    164.779
         100     4.2037    166.024
     82.5404    3.92125    166.601
     68.1292    3.83125     165.71
     56.2341    3.81968    164.799
     46.4159    3.61715     164.73
     38.3119    3.61399    165.138
     31.6228    3.59297    165.348
     26.1016     3.6068     165.24
     21.5443    3.63779    165.119
     17.7828    3.66173    165.151
      14.678    3.70418    165.213
     12.1153    3.74152    165.255
          10    3.79453    165.302
     8.25404     3.8601    165.326
     6.81292    3.92345     165.32
     5.62341    4.02254    165.385
     4.64159    4.12826    165.434
     3.83119      4.216    165.297
     3.16228    4.38227    165.303
     2.61016    4.51104    165.295
     2.15443    4.58302    165.478
     1.77828    4.61049    167.049
      1.4678    4.24619    170.279
     1.21153    3.88256    172.963
           1    4.75857    164.809
    0.681292    6.24144    159.695
    0.464159    6.53207    164.468
    0.316228     6.6236    168.118
    0.215443    6.28801    169.615
     0.14678     5.4967    172.388
         0.1    5.40303      167.1
   0.0464159    7.23569    177.117
   0.0215443    8.76456    217.279
        0.01    10.7603    254.832
  0.00464159    11.7913    267.879
  0.00215443    12.5061    269.566
       0.001    14.0566     284.91
 0.000464159    15.0925    316.758
 0.000215443    14.9879     365.44
      0.0001    16.1264    392.589
